School Year,Building Code,DBN,Location Code,Location Name,Major Crime,Other Crime,Non Criminal,Property Crime,Violent Crime,NTA
2013-14,K650,0,0,257 NORTH  6 STREET CONSOLIDATED LOCATION,1.0,8.0,24.0,5.0,4.0,North Side-South Side
2013-14,K655,0,0,345 DEAN STREET CONSOLIDATED LOCATION,1.0,8.0,3.0,7.0,0.0,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
2013-14,K660,19K660,K660,W. H. Maxwell Career and Technical Education High,0.0,8.0,12.0,0.0,6.0,East New York (Pennsylvania Ave)
2013-14,K721,21K690,K690,Brooklyn Studio Secondary School,0.0,3.0,4.0,1.0,1.0,Bensonhurst West
2013-14,K728,21K728,K728,Liberation Diploma Plus,0.0,2.0,3.0,2.0,0.0,Seagate-Coney Island
2013-14,K778,14K685,K685,El Puente Academy for Peace and Justice,0.0,1.0,0.0,1.0,0.0,Williamsburg
2013-14,K781,15K529,K529,West Brooklyn Community High School,0.0,1.0,0.0,1.0,0.0,Sunset Park East
2013-14,K804,15K519,K519,Cobble Hill School of American Studies,3.0,3.0,4.0,1.0,5.0,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
2013-14,K805,0,0,49 FLATBUSH AVENUE EXTENSION CONSOLIDATED LOCATION,3.0,9.0,9.0,5.0,4.0,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
2013-14,K806,0,0,362 SCHERMERHORN STREET CONSOLIDATED LOCATION,2.0,0.0,1.0,2.0,0.0,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
2013-14,K819,19K409,K409,East New York Family Academy,0.0,0.0,1.0,0.0,0.0,East New York
2013-14,K824,0,0,402 EASTERN PARKWAY CONSOLIDATED LOCATION,1.0,1.0,1.0,2.0,0.0,Crown Heights South
2013-14,K825,15K698,K698,South Brooklyn Community High School,0.0,0.0,1.0,0.0,0.0,Carroll Gardens-Columbia Street-Red Hook
2013-14,K834,0,0,512 CARROLL STREET CONSOLIDATED LOCATION,0.0,0.0,1.0,0.0,0.0,Park Slope-Gowanus
2013-14,K845,0,0,330 18 STREET CONSOLIDATED LOCATION,0.0,0.0,1.0,0.0,0.0,Sunset Park West
2013-14,K857,75K036,K036,P.S. 36,0.0,2.0,1.0,1.0,1.0,East New York
2013-14,K860,18K673,K673,East Brooklyn Community High School,2.0,2.0,1.0,4.0,0.0,Rugby-Remsen Village
2013-14,K865,32K556,K556,Bushwick Leaders High School for Academic Excellen,0.0,1.0,0.0,0.0,0.0,Bushwick South
2013-14,K894,0,0,1495 HERKIMER STREET CONSOLIDATED LOCATION,2.0,5.0,2.0,5.0,2.0,Ocean Hill
2013-14,K902,0,0,62 PARK PLACE CONSOLIDATED LOCATION,1.0,1.0,2.0,0.0,1.0,Park Slope-Gowanus
